province,city,lon,lat,pop,consumption,product
Heilongjiang,Suifenhe,131.1573922,44.41815437,7,602.8000349,1263.508013
Heilongjiang,Suihua,126.9753569,46.66003218,548.5,31927.20202,161017.3799
Heilongjiang,Yichun-Hlj,128.8475464,47.73331846,121.2,7225.63874,43988.49378
Hubei,Ezhou,114.9016074,30.39657217,105.95,10189.20484,20178.31658
Hubei,Enshi,109.4945926,30.27793958,332.7,25633.41498,17281.90751
Hubei,Huanggang,114.8784905,30.45935886,629.1,52167.64259,77954.7815
Hubei,Huangshi,115.0455329,30.20520785,245.8,24570.30227,39529.08772
Hubei,Jingmen,112.206393,31.04173258,289.63,29941.8067,65541.59973
Hubei,Jingzhou,112.2455226,30.34084211,570.59,55720.64548,106477.5147
Hubei,Qianjiang,112.9054741,30.40835793,95.8,9073.485061,23116.10294
Hubei,Shennongjialinqu,110.6825249,31.75049601,7.68,568.868263,431.4270285
Hubei,Shiyan,110.8045296,32.63506186,338.3,27647.21632,43115.11801
Hubei,Suizhou,113.38945,31.69651677,219.08,19525.60689,116449.4374
Hubei,Tianmen,113.1724092,30.66962183,129.2,11735.97276,15778.53327
Hubei,Wuhan,114.3115816,30.59846674,1060.77,144343.9365,72374.36667
Hubei,Xiantao,113.4615906,30.36827192,115.5,11211.59161,12013.20147
Hubei,Xianning,114.3285191,29.84705595,250.7,22270.41151,51707.79827
Hubei,Xiangyang,112.1285372,32.0147968,561.4,56110.71269,114712.1437
Hubei,Xiaogan,113.9225101,30.93068923,487.8,47045.84046,160461.063
Hubei,Yichang,111.2925492,30.69744648,411.5,41680.82228,49101.0301
Hunan,Changde,111.7054522,29.03775,584.39,115447.7107,201568.3763
Hunan,Chenzhou,113.0214605,25.77668327,473.02,98069.22893,54435.41905
Hunan,Hengyang,112.5784472,26.89957614,733.75,165638.7741,184267.6601
Hunan,Huaihua,110.0085143,27.5751609,490.16,70472.55511,74016.76189
Hunan,Loudi,112.0015035,27.7032086,387.18,61913.05349,33593.93222
Hunan,Shaoyang,111.4744329,27.24527027,726.17,111880.2347,87344.70208
Hunan,Xiangtan,112.9504642,27.83570223,282.37,73376.38184,16225.74183
Hunan,Yiyang,112.361516,28.55971118,441.02,83540.68178,51540.69218
Hunan,Yueyang,113.1354894,29.36317829,562.92,119635.2124,54357.35401
Hunan,Changsha,112.9454732,28.2348894,743.18,294682.6587,99717.24233
Hunan,Zhuzhou,113.1404708,27.83356764,400.05,119716.889,57664.10031
Jilin,Liaoyuan,125.1504252,42.89405501,120.8,10997.56744,19652.70246
Jilin,Siping,124.3564816,43.17199357,326.41,27107.80076,115891.6024
Jilin,Tonghua,125.9466063,41.7338158,221.1,20652.60511,41589.88129
Jilin,Changchun,125.3306021,43.8219535,753.84,71339.07759,484820.9607
Jiangsu,Changzhou,119.9814847,31.81579565,470.14,85996.66582,56435.9476
Jiangsu,Huaian,119.0214837,33.6162953,487.2,53192.28249,93524.45871
Jiangsu,Lianyungang,119.2286213,34.60224953,447.37,55533.1739,39468.13242
Jiangsu,Nanjing,118.8024217,32.06465289,823.59,154644.0943,36523.83635
Jiangsu,Nantong,120.9015917,31.98654943,730,110323.2933,135109.3487
Jiangsu,Suzhou-Js,120.5924122,31.30356407,1061.6,215572.4365,21851.44202
Jiangsu,Suqian,118.281574,33.96774972,485.38,55417.48466,94095.3156
Jiangsu,Taizhou-Js,119.9295663,32.46067505,464.16,65816.24322,37593.21933
Jiangsu,Wuxi,120.3185833,31.49880973,651.1,138903.5576,16487.58816
Jiangsu,Xuzhou,117.2905754,34.21266655,866.9,100386.9886,313642.397
Jiangsu,Yancheng,120.1675443,33.35510092,722.85,94081.58787,230816.2192
